Time_s,Capacitance_pF
0.175509,29305.73
0.367492,29305.73
0.50939,29305.79
0.569252,29305.63
0.745488,29305.75
0.769447,29306.07
0.869273,29306.07
0.970181,29305.95
1.069627,29306.07
1.1694,29306.04
1.269878,29306.18
1.370288,29305.3
1.469378,29278.48
1.57014,29233.81
1.669763,29229.03
1.769943,29226.34
1.86932,29217.55
1.970391,29220.29
2.069757,29217.49
2.170198,29210.79
2.270191,29209.1
2.37014,29208.89
2.46948,29210.79
2.570018,29214.76
2.670205,29227.29
2.770262,29248.47
2.870174,29388.27
2.970262,29429.41
3.070143,29406.1
3.170131,29441.65
3.269684,29405.4
3.369931,29478.71
3.47023,29497.21
3.569496,29467.38
3.669817,29486.11
3.769495,29489.37
3.868674,29445.62
3.969502,29531.08
4.069845,29568.78
4.170361,29609.62
4.27028,29505.89
4.369469,29505.31
4.469763,29509.89
4.570219,29504.25
4.670245,29502.65
4.770204,29505.54
4.869297,29507.2
4.970212,29508.81
5.070174,29520.73
5.170187,29539.78
5.269726,29612.06
5.369151,29666.77
5.470211,29794.09
5.569466,29730.93
5.669427,29823.26
5.769978,29772.99
5.970161,29603.08
6.070189,29536.12
6.170324,29280.09
6.270169,29158.39
6.369301,29097.08
6.469698,29150.85
6.570182,29138.59
6.669472,29054.4
6.770085,28977.07
6.86932,28880.5
6.97015,28834.86
7.070117,28863.92
7.170206,28991.29
7.269634,29029.68
7.369312,29126.23
7.470252,29086.37
7.570141,29014.73
7.669662,28859.02
7.770143,28929.41
7.868698,28992.66
7.970279,28999.94
8.069696,29076.84
8.170237,28958.55
8.270208,28913.25
8.370206,28907.69
8.469756,28903.55
8.670173,28905.94
8.769891,28912.02
8.869996,28926.61
8.970164,28924.78
9.070288,28924.41
9.170219,28925.86
9.269765,28927.19
9.369328,28926.39
9.470206,28933.2
9.570381,28961.21
9.669955,29075.31
9.770145,28944.96
9.869295,29023.75
9.969491,29035.96
10.069794,29045.6
10.170006,29078.22
10.27033,29088.3
10.369448,29112.39
10.469708,29116.66
10.570067,29113.35
10.670069,29115.09
10.769804,29119.19
10.869445,29118.63
10.97027,29123.62
11.069961,29144.63
11.269844,29157.26
11.369314,29130.84
11.470261,29112.73
11.569839,29066.34
11.669649,29025.43
11.770144,28966.67
11.869923,28962.14
11.970126,29011.74
12.06968,29060.04
12.16992,29485.88
12.269661,29481.58
12.370158,29081.71
12.469847,29061.72
12.57026,29013.92
12.670167,29007.08
12.770164,28982.28
12.869412,28989.53
12.970131,28969.92
13.069708,28951.57
13.169852,28933.73
13.269798,28916.16
13.370049,28905.88
13.470331,28906.19
13.570165,28911.66
13.669822,28897.03
13.770145,28903.27
13.969931,28967.34
14.06967,28950.62
14.17017,28949.78
14.269739,28984.07
14.37026,28997.09
14.46968,29001.16
14.570213,29007.27
14.670114,29014.84
14.770134,29016.54
14.869303,29013.64
14.970183,29014.08
15.07024,29010.71
15.170271,29004.84
15.269672,28922.42
15.369293,28884.1
15.470124,28921.69
15.569516,28918.38
15.66963,28917.92
15.770132,28919.11
15.869429,28890.12
15.970162,28843.79
16.069666,28880.61
16.170184,28897.16
16.270161,29015.65
16.369777,28957.21
16.469604,28968.55
16.670218,29007.97
16.770071,29008.25
16.869311,29040.74
16.970181,29107.29
17.07019,29072.13
17.170153,29098.93
17.269679,29051.31
17.369347,29037.72
17.470127,29038.0
17.570119,29033.64
17.669367,28996.0
17.770177,28988.47
17.87014,28937.68
17.970136,28908.0
18.06989,28897.11
18.170113,28969.66
18.27022,28997.59
18.369279,28962.98
18.46961,28966.73
18.569912,28958.21
18.670177,28941.6
18.770173,28950.08
18.870272,28967.34
18.970259,28994.97
19.070068,29037.84
19.17009,29032.41
19.369425,29026.93
19.470152,29029.7
19.570147,29050.19
19.670137,29124.33
19.770162,29213.62
19.86943,29187.84
19.970138,28978.83
20.069652,28931.81
20.170217,29966.38
20.270178,30069.62
20.370169,30080.07
20.469719,29927.1
20.569768,28939.68
20.669222,28927.31
20.770271,28952.76
20.869354,28983.01
20.969654,29651.2
21.0696,30084.05
21.170161,30116.48
21.269697,29072.7
21.36931,28988.5
21.470209,28987.21
21.569402,28994.08
21.669738,29985.94
21.770183,30099.85
21.970155,29537.62
22.069467,28978.94
22.170185,28983.18
22.26997,28986.46
22.370161,29986.43
22.469793,29338.83
22.569282,29034.09
22.670224,29046.5
22.769414,29058.45
22.869044,29073.26
22.970163,29253.08
23.069405,29983.35
23.17013,29074.32
23.269934,29064.35
23.369354,29062.09
23.470179,29060.72
23.569898,29825.18
23.669657,30058.61
23.770177,29090.49
23.869788,29087.15
23.970075,29071.47
24.069648,30065.98
24.17012,29846.52
24.270182,29084.75
24.369762,29119.19
24.469716,29124.75
24.669348,29119.33
24.770164,29120.33
24.870174,29120.5
24.970017,29122.69
25.069742,29866.84
25.169819,30160.95
25.269554,30168.11
25.369385,30173.48
25.46912,29083.45
25.569798,29077.12
25.66939,29071.94
25.770486,29068.05
25.869323,29058.47
25.970411,29046.52
26.069712,29044.26
26.169947,29056.24
26.270161,29029.62
26.370119,28986.57
26.46966,28914.25
26.570146,28941.92
26.670176,29036.24
26.77011,31172.18
26.869348,31641.46
26.970112,31760.18
27.069411,31680.02
27.170376,31341.3
27.369665,30708.16
27.469154,30757.46
27.569467,30906.8
27.672178,29711.22
27.769787,29694.95
27.86984,30085.6
27.969893,30054.14
28.068978,30034.02
28.169284,30085.68
28.270103,30284.32
